entry_date,exit_date,entry_price,exit_price,duration_days,pnl,size
2020-03-22,2020-05-12,3760.73,6185.56,51,2424.83,0
2020-06-03,2020-06-07,9414.52,9533.76,4,119.24,0
2020-07-08,2020-07-17,9374.23,9253.02,9,-121.21,0
2020-09-16,2020-11-27,4441.61,10797.76,72,6356.15,0
2021-05-01,2021-08-18,70742.58,57714.66,109,-13027.91,0
2021-10-03,2021-10-25,34466.13,47680.03,22,13213.9,0
2021-12-20,2022-03-07,54984.82,46707.06,77,-8277.76,0
2022-03-17,2022-04-06,36737.33,41140.84,20,4403.51,0
2022-05-05,2022-08-07,56427.99,39695.75,94,-16732.24,0
2022-09-16,2022-09-21,20516.73,19704.01,5,-812.72,0
2022-09-29,2022-11-24,22243.92,19427.78,56,-2816.14,0
2022-11-25,2022-12-22,16386.16,16602.27,27,216.11,0
2022-12-27,2023-01-03,17149.73,16919.29,7,-230.44,0
2023-01-04,2023-01-31,10519.61,16680.21,27,6160.59,0
2023-06-01,2023-06-08,28089.17,27218.41,7,-870.76,0
2023-06-18,2023-07-07,23112.92,26510.46,19,3397.54,0
2023-08-16,2023-10-12,31464.86,29169.07,57,-2295.78,0
2024-01-31,2024-02-24,35156.13,42946.25,24,7790.12,0
2024-05-06,2024-05-31,59714.11,64038.31,25,4324.2,0
2024-07-13,2024-08-01,51191.64,57908.74,19,6717.1,0
2024-08-23,2024-08-31,61644.43,60380.95,8,-1263.47,0
2024-09-13,2024-10-02,55424.32,58130.32,19,2706.0,0
